order_id,product_id,customer_id,order_date,ship_date,sales,quantity,discount,profit
US-2020-103800,OFF-PA-10000174,DP-13000,2020-01-03,2020-01-07,16.448,2,0.2,5.551199999999998
US-2020-112326,OFF-BI-10004094,PO-19195,2020-01-04,2020-01-08,3.539999999999999,2,0.8,-5.487
US-2020-112326,OFF-LA-10003223,PO-19195,2020-01-04,2020-01-08,11.784,3,0.2,4.271699999999999
US-2020-112326,OFF-ST-10002743,PO-19195,2020-01-04,2020-01-08,272.736,3,0.2,-64.77480000000001
US-2020-141817,OFF-AR-10003478,MB-18085,2020-01-05,2020-01-12,19.536,3,0.2,4.884
US-2020-167199,FUR-CH-10004063,ME-17320,2020-01-06,2020-01-10,2573.82,9,0.0,746.4077999999997
US-2020-167199,OFF-AR-10001662,ME-17320,2020-01-06,2020-01-10,5.48,2,0.0,1.4796000000000005
US-2020-106054,OFF-AR-10002399,JO-15145,2020-01-06,2020-01-07,12.78,3,0.0,5.2398
US-2020-167199,OFF-BI-10004632,ME-17320,2020-01-06,2020-01-10,609.98,2,0.0,274.491
US-2020-167199,OFF-FA-10001883,ME-17320,2020-01-06,2020-01-10,31.12,4,0.0,0.3111999999999995
US-2020-167199,OFF-PA-10000955,ME-17320,2020-01-06,2020-01-10,6.54,1,0.0,3.0084
US-2020-130813,OFF-PA-10002005,LS-17230,2020-01-06,2020-01-08,19.44,3,0.0,9.3312
US-2020-167199,TEC-PH-10004539,ME-17320,2020-01-06,2020-01-10,755.96,4,0.0,204.1092
US-2020-167199,TEC-PH-10004977,ME-17320,2020-01-06,2020-01-10,391.98,2,0.0,113.67419999999998
US-2020-105417,FUR-FU-10004864,VS-21820,2020-01-07,2020-01-12,76.72800000000001,3,0.6,-53.70959999999999
US-2020-105417,OFF-BI-10003708,VS-21820,2020-01-07,2020-01-12,10.429999999999998,7,0.8,-18.252500000000005
US-2020-135405,OFF-AR-10004078,MS-17830,2020-01-09,2020-01-13,9.344,2,0.2,1.1679999999999997
US-2020-135405,TEC-AC-10001266,MS-17830,2020-01-09,2020-01-13,31.200000000000003,3,0.2,9.749999999999996
US-2020-149020,FUR-FU-10000965,AJ-10780,2020-01-10,2020-01-15,51.94,1,0.0,21.2954
US-2020-149020,OFF-LA-10004272,AJ-10780,2020-01-10,2020-01-15,2.89,1,0.0,1.3583
US-2020-130092,FUR-FU-10000010,SV-20365,2020-01-11,2020-01-14,9.94,2,0.0,3.0813999999999995
US-2020-157147,FUR-BO-10003034,BD-11605,2020-01-13,2020-01-18,333.999,3,0.15,3.929400000000008
US-2020-109232,FUR-CH-10000422,ND-18370,2020-01-13,2020-01-16,545.9399999999999,6,0.0,87.35040000000004
US-2020-157147,OFF-AR-10003514,BD-11605,2020-01-13,2020-01-18,19.9,5,0.0,6.566999999999998
US-2020-118192,OFF-BI-10003476,MM-17920,2020-01-13,2020-01-18,3.4380000000000006,2,0.7,-2.5212000000000003
US-2020-162775,OFF-BI-10004187,CS-12250,2020-01-13,2020-01-15,5.64,3,0.0,2.7071999999999994
US-2020-162775,OFF-EN-10001532,CS-12250,2020-01-13,2020-01-15,50.94,3,0.0,25.47
US-2020-162775,OFF-EN-10001990,CS-12250,2020-01-13,2020-01-15,11.36,2,0.0,5.339199999999999
US-2020-118192,OFF-PA-10002947,MM-17920,2020-01-13,2020-01-18,37.408,7,0.2,13.0928
US-2020-162775,OFF-ST-10000025,CS-12250,2020-01-13,2020-01-15,572.58,6,0.0,34.354799999999955
US-2020-157147,OFF-ST-10000078,BD-11605,2020-01-13,2020-01-18,1325.85,5,0.0,238.6529999999999
US-2020-162775,TEC-AC-10003174,CS-12250,2020-01-13,2020-01-15,646.74,6,0.0,258.696
US-2020-149524,FUR-BO-10003433,BS-11590,2020-01-14,2020-01-15,61.96,4,0.5,-53.28560000000001
US-2020-103366,TEC-AC-10003628,EH-13990,2020-01-15,2020-01-17,149.95,5,0.0,65.97800000000001
US-2020-115791,FUR-FU-10001095,DL-13315,2020-01-16,2020-01-18,127.104,6,0.2,28.5984
US-2020-115791,OFF-BI-10001575,DL-13315,2020-01-16,2020-01-18,18.588000000000005,2,0.7,-13.6312
US-2020-115791,OFF-LA-10001074,DL-13315,2020-01-16,2020-01-18,30.072000000000003,3,0.2,10.149299999999997
US-2020-115791,TEC-PH-10004614,DL-13315,2020-01-16,2020-01-18,124.2,3,0.4,-31.05000000000001
US-2020-123477,OFF-AP-10000692,DW-13195,2020-01-18,2020-01-21,64.864,4,0.2,6.486400000000003
US-2020-146591,FUR-BO-10001972,TS-21340,2020-01-19,2020-01-20,181.47000000000003,5,0.7,-320.597
US-2020-146591,OFF-BI-10003676,TS-21340,2020-01-19,2020-01-20,32.34,10,0.7,-23.716
US-2020-146591,OFF-EN-10002504,TS-21340,2020-01-19,2020-01-20,108.72,5,0.2,36.693
US-2020-146591,OFF-PA-10000659,TS-21340,2020-01-19,2020-01-20,56.064,4,0.2,19.6224
US-2020-147627,FUR-CH-10002331,HL-15040,2020-01-20,2020-01-26,1067.94,3,0.0,224.2673999999999
US-2020-167927,FUR-FU-10002268,XP-21865,2020-01-20,2020-01-26,14.73,3,0.0,4.860899999999999
US-2020-167927,FUR-FU-10002918,XP-21865,2020-01-20,2020-01-26,272.94,3,0.0,30.02340000000001
US-2020-147627,FUR-FU-10003194,HL-15040,2020-01-20,2020-01-26,38.6,4,0.0,11.579999999999998
US-2020-148614,FUR-FU-10003194,MV-17485,2020-01-20,2020-01-25,19.3,2,0.0,5.789999999999999
US-2020-167927,OFF-AP-10002311,XP-21865,2020-01-20,2020-01-26,247.716,4,0.1,93.5816
US-2020-147627,OFF-AR-10002375,HL-15040,2020-01-20,2020-01-26,22.96,7,0.0,6.658399999999997
US-2020-147627,OFF-AR-10003811,HL-15040,2020-01-20,2020-01-26,6.63,3,0.0,1.7901
US-2020-167927,OFF-AR-10004456,XP-21865,2020-01-20,2020-01-26,43.92,3,0.0,12.7368
US-2020-167927,OFF-BI-10000605,XP-21865,2020-01-20,2020-01-26,19.05,5,0.0,8.953499999999998
US-2020-147774,OFF-BI-10003091,MM-18280,2020-01-20,2020-01-26,67.194,1,0.7,-51.51539999999999
US-2020-167927,OFF-BI-10004364,XP-21865,2020-01-20,2020-01-26,29.700000000000003,5,0.0,13.365
US-2020-147627,OFF-EN-10001539,HL-15040,2020-01-20,2020-01-26,23.34,3,0.0,10.9698
US-2020-148614,OFF-PA-10002893,MV-17485,2020-01-20,2020-01-25,19.36,2,0.0,9.2928
US-2020-167927,OFF-ST-10000760,XP-21865,2020-01-20,2020-01-26,13.98,1,0.0,4.0542
US-2020-167927,OFF-ST-10003123,XP-21865,2020-01-20,2020-01-26,66.58,2,0.0,15.9792
US-2020-147627,TEC-PH-10001061,HL-15040,2020-01-20,2020-01-26,699.93,7,0.0,181.9818
US-2020-110422,FUR-FU-10001889,TB-21400,2020-01-21,2020-01-23,25.248,3,0.2,4.102799999999999
CA-2020-115238,FUR-FU-10001025,JW-15220,2020-01-21,2020-01-24,24.3,5,0.0,10.45
CA-2020-115238,FUR-FU-10002445,JW-15220,2020-01-21,2020-01-24,9.48,1,0.0,3.79
CA-2020-115238,FUR-FU-10002960,JW-15220,2020-01-21,2020-01-24,31.4,5,0.0,13.19
CA-2020-115238,OFF-PA-10002689,JW-15220,2020-01-21,2020-01-24,6.48,1,0.0,3.11
CA-2020-115238,TEC-PH-10001300,JW-15220,2020-01-21,2020-01-24,209.5,10,0.0,58.66
US-2020-146997,OFF-FA-10003467,SG-20605,2020-01-23,2020-01-27,5.94,3,0.0,0.0
US-2020-102645,OFF-PA-10001804,IM-15055,2020-01-23,2020-01-28,40.08,6,0.0,19.2384
US-2020-167997,FUR-BO-10004409,CA-11965,2020-01-26,2020-01-29,141.96,2,0.0,39.7488
US-2020-155502,FUR-FU-10001847,SD-20485,2020-01-26,2020-01-31,12.419999999999998,3,0.0,4.4712
US-2020-155502,FUR-FU-10004587,SD-20485,2020-01-26,2020-01-31,62.82000000000001,3,0.0,30.7818
US-2020-167997,OFF-BI-10001758,CA-11965,2020-01-26,2020-01-29,10.68,2,0.0,5.0196
US-2020-155502,OFF-PA-10000380,SD-20485,2020-01-26,2020-01-31,16.68,2,0.0,8.34
US-2020-155502,OFF-PA-10003072,SD-20485,2020-01-26,2020-01-31,19.44,3,0.0,9.3312
US-2020-155502,OFF-ST-10004337,SD-20485,2020-01-26,2020-01-31,489.92,8,0.0,0.0
US-2020-155502,TEC-PH-10002103,SD-20485,2020-01-26,2020-01-31,187.98,2,0.0,52.6344
US-2020-155502,TEC-PH-10004833,SD-20485,2020-01-26,2020-01-31,155.35,13,0.0,0.0
US-2020-117163,FUR-TA-10003469,EJ-13720,2020-01-27,2020-02-02,333.0,3,0.2,-16.64999999999999
US-2020-117163,OFF-AR-10003179,EJ-13720,2020-01-27,2020-02-02,36.44,4,0.0,12.025199999999998
US-2020-117163,OFF-ST-10003692,EJ-13720,2020-01-27,2020-02-02,57.23,1,0.0,14.307499999999996
US-2020-100328,OFF-BI-10000343,JC-15340,2020-01-28,2020-02-03,3.928,1,0.2,1.3257
US-2020-134103,OFF-PA-10001204,MV-18190,2020-01-30,2020-02-04,10.56,2,0.0,4.752
US-2020-134103,OFF-ST-10000991,MV-18190,2020-01-30,2020-02-04,229.94,2,0.0,6.898200000000003
US-2020-115161,FUR-BO-10003966,LC-17050,2020-01-31,2020-02-02,290.666,2,0.15,3.4195999999999884
US-2020-140795,TEC-AC-10001432,BD-11500,2020-02-01,2020-02-03,468.9,6,0.0,206.3160000000001
US-2020-123400,OFF-BI-10000666,EB-13930,2020-02-02,2020-02-09,18.336,2,0.7,-12.224
US-2020-139857,OFF-FA-10001843,CD-12790,2020-02-02,2020-02-06,12.35,5,0.0,5.8045
US-2020-123400,TEC-PH-10002890,EB-13930,2020-02-02,2020-02-09,180.96,5,0.2,13.571999999999996
US-2020-111059,OFF-BI-10002827,TB-21400,2020-02-03,2020-02-06,13.272000000000002,3,0.2,4.3134
US-2020-111059,OFF-BI-10004593,TB-21400,2020-02-03,2020-02-06,83.84,2,0.2,27.248
US-2020-104808,OFF-BI-10003676,MH-17440,2020-02-04,2020-02-08,17.248,2,0.2,6.036799999999999
US-2020-107181,OFF-BI-10004230,DB-13270,2020-02-04,2020-02-08,82.896,3,0.2,29.0136
US-2020-107181,OFF-PA-10000350,DB-13270,2020-02-04,2020-02-08,34.24,4,0.0,16.0928
US-2020-108182,OFF-BI-10001196,DL-13315,2020-02-06,2020-02-10,8.951999999999998,2,0.8,-14.7708
US-2020-131905,OFF-LA-10002787,ND-18460,2020-02-06,2020-02-09,15.0,4,0.0,7.199999999999999
US-2020-131905,TEC-PH-10001615,ND-18460,2020-02-06,2020-02-09,144.95,5,0.0,42.03549999999999
US-2020-131905,TEC-PH-10003645,ND-18460,2020-02-06,2020-02-09,161.61,1,0.0,42.018600000000006
US-2020-169390,OFF-ST-10001558,CS-12250,2020-02-07,2020-02-10,64.96,4,0.0,9.744
US-2020-107755,TEC-AC-10000710,CK-12760,2020-02-07,2020-02-12,115.36,7,0.0,49.60480000000001
US-2020-125759,FUR-FU-10002111,NM-18445,2020-02-08,2020-02-09,14.56,2,0.0,5.5328
US-2020-168368,FUR-CH-10001146,GA-14725,2020-02-11,2020-02-15,60.89,1,0.0,15.222499999999997
US-2020-168368,FUR-FU-10002298,GA-14725,2020-02-11,2020-02-15,332.94,3,0.0,53.2704
US-2020-127614,FUR-TA-10003715,NF-18385,2020-02-11,2020-02-15,1256.22,6,0.0,75.37319999999994
US-2020-127614,OFF-BI-10003291,NF-18385,2020-02-11,2020-02-15,17.46,2,0.0,8.206199999999999
US-2020-168368,OFF-BI-10004654,GA-14725,2020-02-11,2020-02-15,51.900000000000006,3,0.0,24.393
US-2020-168368,OFF-BI-10004728,GA-14725,2020-02-11,2020-02-15,9.64,2,0.0,4.4344
US-2020-168368,OFF-LA-10004853,GA-14725,2020-02-11,2020-02-15,14.94,3,0.0,6.8724
US-2020-168368,OFF-ST-10002583,GA-14725,2020-02-11,2020-02-15,64.96,2,0.0,2.598399999999998
US-2020-127614,TEC-AC-10001432,NF-18385,2020-02-11,2020-02-15,234.45,3,0.0,103.15800000000004
US-2020-110674,FUR-CH-10000225,SC-20095,2020-02-12,2020-02-18,129.568,2,0.2,-24.29400000000002
US-2020-121762,OFF-AP-10001293,ML-17395,2020-02-14,2020-02-18,81.96,2,0.0,22.9488
US-2020-107706,OFF-PA-10000466,ST-20530,2020-02-14,2020-02-19,16.176000000000002,3,0.2,6.065999999999999
US-2020-121762,OFF-SU-10000157,ML-17395,2020-02-14,2020-02-18,238.62,2,0.0,4.772400000000005
US-2020-121762,TEC-AC-10000736,ML-17395,2020-02-14,2020-02-18,239.97,3,0.0,86.38919999999999
US-2020-165568,OFF-BI-10001031,BF-11020,2020-02-15,2020-02-19,21.36,5,0.2,7.209
US-2020-122567,OFF-AP-10001303,MN-17935,2020-02-16,2020-02-21,7.959999999999997,2,0.8,-13.930000000000003
US-2020-122567,OFF-BI-10002012,MN-17935,2020-02-16,2020-02-21,1.0799999999999998,3,0.8,-1.7280000000000002
US-2020-154165,OFF-AR-10003631,DL-13315,2020-02-17,2020-02-24,54.208,14,0.2,8.808799999999998
US-2020-165589,FUR-FU-10002396,TB-21595,2020-02-18,2020-02-18,25.16,5,0.6,-11.322
US-2020-152905,OFF-ST-10000321,AB-10015,2020-02-18,2020-02-24,12.624,2,0.2,-2.524800000000002
US-2020-109491,FUR-FU-10000221,LC-16930,2020-02-20,2020-02-26,20.32,4,0.0,6.908799999999999
US-2020-164903,OFF-PA-10003363,SR-20740,2020-02-20,2020-02-24,12.96,2,0.0,6.2208000000000006
US-2020-109491,TEC-AC-10001284,LC-16930,2020-02-20,2020-02-26,62.31,3,0.0,22.4316
US-2020-165540,OFF-BI-10004094,TM-21010,2020-02-21,2020-02-25,8.849999999999998,5,0.8,-13.717499999999998
US-2020-133354,OFF-PA-10001800,SA-20830,2020-02-22,2020-02-24,19.44,3,0.0,9.3312
US-2020-103744,OFF-BI-10000320,MG-17875,2020-02-23,2020-02-27,4.427999999999999,3,0.8,-6.863399999999999
US-2020-103744,OFF-LA-10004425,MG-17875,2020-02-23,2020-02-27,6.936000000000001,3,0.2,2.3409000000000004
US-2020-137680,OFF-PA-10000069,JH-15430,2020-02-24,2020-03-02,22.776000000000003,3,0.2,7.6869
US-2020-137680,OFF-PA-10000174,JH-15430,2020-02-24,2020-03-02,32.896,4,0.2,11.102399999999996
US-2020-156545,OFF-AR-10003560,JS-16030,2020-02-27,2020-03-03,19.456000000000003,4,0.2,3.404799999999998
US-2020-113880,FUR-CH-10000863,VF-21715,2020-03-01,2020-03-05,634.116,6,0.3,-172.11720000000005
US-2020-131009,FUR-CH-10001270,SC-20380,2020-03-01,2020-03-05,362.25,6,0.3,0.0
US-2020-104269,FUR-CH-10004063,DB-13060,2020-03-01,2020-03-06,457.568,2,0.2,51.47639999999994
US-2020-131009,FUR-FU-10001095,SC-20380,2020-03-01,2020-03-05,63.55200000000001,6,0.6,-34.9536
US-2020-168312,FUR-TA-10001866,GW-14605,2020-03-01,2020-03-07,376.509,3,0.3,-43.029600000000045
US-2020-131009,OFF-FA-10004395,SC-20380,2020-03-01,2020-03-05,18.84,5,0.2,-3.5325
US-2020-113880,OFF-PA-10003036,VF-21715,2020-03-01,2020-03-05,17.472,3,0.2,5.678399999999998
US-2020-131009,OFF-ST-10001469,SC-20380,2020-03-01,2020-03-05,129.552,3,0.2,-22.671600000000005
US-2020-168312,OFF-ST-10003692,GW-14605,2020-03-01,2020-03-07,137.352,3,0.2,8.584499999999991
US-2020-143707,TEC-PH-10003655,HR-14770,2020-03-01,2020-03-05,5.94,3,0.0,1.6038
US-2020-107524,OFF-EN-10001990,KN-16705,2020-03-02,2020-03-08,11.36,2,0.0,5.339199999999999
US-2020-111157,OFF-PA-10000327,NH-18610,2020-03-02,2020-03-06,3.4240000000000004,1,0.2,1.0699999999999996
US-2020-107524,OFF-PA-10000587,KN-16705,2020-03-02,2020-03-08,36.4,5,0.0,17.472
US-2020-111157,TEC-AC-10004353,NH-18610,2020-03-02,2020-03-06,151.20000000000002,3,0.2,32.13
